Ridley Scott,Secretos Oscuros 53,Ciencia Ficción,1974,178
James Cameron,El Misterio 30,Terror,1981,98
Steven Spielberg,El Misterio 89,Comedia,2001,125
Stanley Kubrick,La Aventura Perdida 82,Suspenso,2011,161
Stanley Kubrick,En la Sombra 27,Documental,2002,107
Alfred Hitchcock,La Aventura Perdida 89,Documental,1987,108
Tim Burton,Misión Imposible 4,Suspenso,2004,178
David Fincher,Guerra de Mundos 39,Suspenso,2015,168
Ridley Scott,La Aventura Perdida 15,Ciencia Ficción,2017,86
Martin Scorsese,El Regreso 47,Aventura,1971,177
Alfred Hitchcock,En la Sombra 16,Documental,1950,157
David Fincher,Horizonte Final 30,Romance,1951,84
Ridley Scott,El Regreso 84,Romance,1957,141
Ridley Scott,Misión Imposible 39,Suspenso,1950,134
Alfred Hitchcock,El Misterio 64,Suspenso,1953,92
Martin Scorsese,Sueños de Libertad 98,Fantasía,2005,136
Steven Spielberg,El Regreso 60,Comedia,1987,108
Ridley Scott,Guerra de Mundos 72,Drama,1964,159
Tim Burton,Horizonte Final 22,Fantasía,1992,133
Martin Scorsese,El Misterio 32,Aventura,1982,138
Steven Spielberg,Sueños de Libertad 49,Fantasía,1952,110
James Cameron,Más Allá del Tiempo 71,Romance,1976,105
Alfred Hitchcock,Secretos Oscuros 80,Drama,1985,150
James Cameron,Más Allá del Tiempo 50,Romance,1978,142
Steven Spielberg,En la Sombra 89,Terror,2009,124
Quentin Tarantino,Misión Imposible 34,Suspenso,1953,101
Quentin Tarantino,En la Sombra 98,Drama,2016,140
Ridley Scott,El Regreso 87,Aventura,1953,113
Martin Scorsese,Más Allá del Tiempo 1,Comedia,1969,108
James Cameron,El Misterio 68,Documental,1975,163
David Fincher,El Regreso 74,Aventura,2019,169
James Cameron,Sueños de Libertad 1,Comedia,1991,84
Steven Spielberg,En la Sombra 1,Terror,2018,127
Ridley Scott,El Regreso 46,Terror,1973,107
Stanley Kubrick,Guerra de Mundos 84,Comedia,2004,176
Stanley Kubrick,Misión Imposible 85,Comedia,2007,162
James Cameron,Sueños de Libertad 53,Acción,2019,123
Martin Scorsese,El Misterio 95,Drama,1971,91
Alfred Hitchcock,La Aventura Perdida 30,Documental,1980,90
Alfred Hitchcock,El Regreso 14,Ciencia Ficción,1970,137
Christopher Nolan,Horizonte Final 30,Terror,1954,104
Alfred Hitchcock,El Misterio 75,Documental,1996,120
Alfred Hitchcock,Misión Imposible 96,Comedia,1968,93
James Cameron,Horizonte Final 70,Ciencia Ficción,1976,113
Stanley Kubrick,Misión Imposible 14,Fantasía,1987,178
Steven Spielberg,Guerra de Mundos 35,Romance,1977,149
Martin Scorsese,El Misterio 32,Terror,1950,99
Stanley Kubrick,Sueños de Libertad 27,Documental,1967,97
Steven Spielberg,La Aventura Perdida 60,Ciencia Ficción,2002,117
Martin Scorsese,El Misterio 84,Drama,1969,108
David Fincher,En la Sombra 61,Aventura,1958,96
Alfred Hitchcock,Secretos Oscuros 34,Drama,1980,89
Christopher Nolan,Guerra de Mundos 19,Comedia,2002,178
Quentin Tarantino,El Regreso 98,Suspenso,1966,99
Christopher Nolan,El Regreso 86,Comedia,1959,84
Quentin Tarantino,Sueños de Libertad 20,Romance,1952,114
Quentin Tarantino,Sueños de Libertad 22,Aventura,2003,94
Alfred Hitchcock,Guerra de Mundos 61,Ciencia Ficción,2009,143
Stanley Kubrick,Más Allá del Tiempo 51,Acción,2011,122
Christopher Nolan,Secretos Oscuros 15,Aventura,1962,166
Stanley Kubrick,El Misterio 55,Fantasía,1969,142
Steven Spielberg,El Regreso 57,Documental,2022,178
Tim Burton,El Regreso 80,Acción,1996,123
Steven Spielberg,Guerra de Mundos 59,Drama,1978,96
Stanley Kubrick,Horizonte Final 19,Romance,1957,138
Christopher Nolan,El Misterio 3,Fantasía,1954,159
Steven Spielberg,El Regreso 83,Comedia,1979,161
Ridley Scott,Guerra de Mundos 49,Fantasía,1982,96
Quentin Tarantino,Horizonte Final 83,Drama,2000,170
James Cameron,En la Sombra 61,Drama,1951,131
Stanley Kubrick,Guerra de Mundos 39,Romance,1971,131
Alfred Hitchcock,Más Allá del Tiempo 55,Suspenso,2014,178
Quentin Tarantino,La Aventura Perdida 39,Suspenso,1973,84
David Fincher,Secretos Oscuros 78,Fantasía,2013,128
James Cameron,Guerra de Mundos 18,Documental,1977,140
James Cameron,La Aventura Perdida 69,Fantasía,2011,131
Quentin Tarantino,En la Sombra 90,Documental,2004,127
Martin Scorsese,En la Sombra 19,Aventura,1994,179
Tim Burton,Horizonte Final 96,Ciencia Ficción,1978,142
Ridley Scott,La Aventura Perdida 65,Documental,2006,173
Martin Scorsese,Guerra de Mundos 24,Documental,2000,117
Steven Spielberg,Sueños de Libertad 29,Acción,2020,114
Martin Scorsese,La Aventura Perdida 63,Terror,1997,106
Quentin Tarantino,Guerra de Mundos 1,Comedia,1972,82
Stanley Kubrick,Guerra de Mundos 82,Aventura,1961,126
Tim Burton,El Regreso 39,Drama,2020,133
Stanley Kubrick,El Regreso 99,Aventura,2021,86
James Cameron,El Misterio 59,Ciencia Ficción,2013,146
