Alfred Hitchcock,Memoria Una (1),Histórico,1975132
Guillermo del Toro,Una Algo (2),Western,1953135
David Fincher,Noche Amor (3),Suspenso,1921180
Pedro Almodóvar,Las El Noche (4),Western,1944162
Francis Ford Coppola,Esperanza Algo Memoria Secreto (5),Suspenso,1982185
Martin Scorsese,Camino Vida Algo Día (6),Acción,1951136
Martin Scorsese,El Una Los (7),Independiente,1975205
Steven Spielberg,El Un Destino Muerte (8),Thriller,201972
Wong Kar-wai,Los Viaje (9),Animación,1956207
Wes Anderson,Algo Un Las (10),Aventura,1949130
Alejandro González Iñárritu,Una Tiempo El (11),Western,198084
Alfred Hitchcock,Tiempo Una Viaje Las (12),Western,2023211
David Fincher,Día Memoria Un (13),Thriller,2006202
Quentin Tarantino,Memoria Tiempo Vida Destino (14),Romance,196395
Guillermo del Toro,Sueño Algo Las (15),Thriller,1932217
Ridley Scott,Día Vida Camino (16),Romance,1967175
Alejandro González Iñárritu,Destino Un Día (17),Aventura,2006176
James Cameron,Una Noche Vida (18),Terror,1938150
Wong Kar-wai,Algo Noche Una (19),Western,2008173
Woody Allen,Camino Algo Secreto (20),Histórico,1981125
Alejandro González Iñárritu,Amor Una (21),Aventura,2019184
Alejandro González Iñárritu,Secreto Algo Día Noche (22),Guerra,1999,122
Francis Ford Coppola,Memoria Camino Un (23),Histórico,1923,161
Steven Spielberg,Un Sueño (24),Suspenso,1930,212
Woody Allen,La Camino (25),Ciencia Ficción,1985,113
Steven Spielberg,Algo Sueño (26),Romance,1955,189
James Cameron,Tiempo Los Memoria Sueño (27),Comedia,1961,203
Guillermo del Toro,Algo Muerte Secreto (28),Suspenso,2013,199
Woody Allen,Camino Un Tiempo (29),Terror,1925,140
Tim Burton,La El Algo (30),Biografía,1950,119
Pedro Almodóvar,Un Memoria (31),Western,1922,147
Denis Villeneuve,Muerte Secreto La (32),Suspenso,2017,204
Alejandro González Iñárritu,Las Destino (33),Terror,1932,167
David Fincher,Destino Tiempo Memoria La (34),Western,1922,212
Pedro Almodóvar,El Esperanza Los Día (35),Animación,1971,131
Pedro Almodóvar,Día Algo Vida Secreto (36),Aventura,2007,186
Christopher Nolan,Amor Secreto (37),Fantasía,1955,152
Ridley Scott,Esperanza Vida Noche (38),Aventura,1936,171
Akira Kurosawa,Un Secreto Algo Esperanza (39),Thriller,2020,180
Woody Allen,Las Vida Día (40),Experimental,1996,121
Wes Anderson,Muerte Vida Un (41),Aventura,2002,127
Alfred Hitchcock,Tiempo Muerte (42),Guerra,1943,145
Ridley Scott,Sueño Noche Camino (43),Comedia,2020,199
Christopher Nolan,El Esperanza Camino Destino (44),Biografía,1926,202
James Cameron,Amor Tiempo (45),Terror,2018,207
Sofia Coppola,Las La (46),Suspenso,1943,160
Alfred Hitchcock,Un Esperanza Muerte Camino (47),Aventura,1952,134
Tim Burton,Noche Muerte Memoria Un (48),Aventura,1948,126
James Cameron,Sueño Las Amor Secreto (49),Fantasía,2006,219
Pedro Almodóvar,Los Amor (50),Documental,1989,85
Guillermo del Toro,El Día Los Una (51),Drama,1950,208
Pedro Almodóvar,Un Memoria Camino Esperanza (52),Documental,2018,201
Guillermo del Toro,Un Noche La (53),Guerra,2000,92
James Cameron,El Las Camino (54),Terror,1943,137
Alejandro González Iñárritu,Destino Una (55),Fantasía,1958,169
Ridley Scott,Muerte Las (56),Documental,1970,143
David Fincher,Tiempo Algo (57),Aventura,1939,103
Akira Kurosawa,Día Algo El (58),Comedia,2019,226
Steven Spielberg,Día Muerte (59),Guerra,1960,230
Wong Kar-wai,Vida Tiempo Secreto Viaje (60),Aventura,1994,222
Quentin Tarantino,Viaje Muerte (61),Experimental,2003,180
Sofia Coppola,El Una Esperanza Destino (62),Ciencia Ficción,2020,114
Alejandro González Iñárritu,El Destino (63),Drama,1951,90
Woody Allen,Las Vida (64),Animación,1937,205
Martin Scorsese,Un Memoria Algo Los (65),Terror,2014,141
Alfred Hitchcock,Memoria Sueño Una (66),Romance,2017,96
Wong Kar-wai,Muerte Destino (67),Independiente,1956,78
Alejandro González Iñárritu,Los Muerte (68),Guerra,2014,138
Wong Kar-wai,Un Una Vida (69),Documental,2013,84
Wong Kar-wai,Muerte Esperanza Noche (70),Comedia,1977,146
Ridley Scott,Algo Secreto Día Esperanza (71),Aventura,1969,174
Steven Spielberg,La El (72),Musical,1935,162
Denis Villeneuve,Viaje Un Noche Vida (73),Aventura,1999,99
Alejandro González Iñárritu,Día Una Algo La (74),Comedia,1924,144
Stanley Kubrick,La Secreto (75),Crimen,1959,81
Wes Anderson,Día Un Tiempo (76),Acción,2011,130
David Fincher,Sueño El Las (77),Musical,1927,86
Stanley Kubrick,Algo Una El (78),Independiente,2004,91
Wes Anderson,Los Vida Memoria Amor (79),Independiente,1977,225
Pedro Almodóvar,Amor La (80),Comedia,2014,149
Christopher Nolan,Muerte Destino Un (81),Drama,1939,78
Woody Allen,Tiempo La (82),Acción,1980,72
Martin Scorsese,Un El Vida (83),Documental,2000,189
Ridley Scott,Los Amor Tiempo (84),Documental,1993,92
Francis Ford Coppola,Tiempo Día La Memoria (85),Guerra,1920,125
Stanley Kubrick,Viaje Las (86),Independiente,1997,166
Denis Villeneuve,Esperanza Una Las Secreto (87),Comedia,1954,150
David Fincher,Muerte Tiempo (88),Comedia,1970,193
Alejandro González Iñárritu,La Una Memoria Un (89),Comedia,1928,156
